time,open,high,low,close,volume,day_of_week,month,day_of_month,week_of_year,rsi,macd,macd_signal,macd_hist,bb_high,bb_low,bb_mavg,bb_width,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_50,rolling_std_50,target,garch_vol
2014-03-12 21:00:00+00:00,1.39039,1.39668,1.38456,1.38698,81457,2,3,12,11,62.55234091512016,0.006000382932582093,0.0048167075036638606,0.0011836754289182329,1.391487624524098,1.3633503754759024,1.3774190000000002,2.0427516280954072,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3635,1.35902,1.35334,1.35182,1.35248,1.34854,1.35548,1.36626,1.3877666666666666,0.0023413101745291087,1.3854485714285716,0.005555608063243152,1.3795442857142857,0.007596307518267777,1.3710896666666665,0.011417677003704232,1.3674549999999999,0.010393586375986842,1.39112,0.0028622006032116734
2014-03-13 21:00:00+00:00,1.38696,1.3938,1.38476,1.39112,70754,3,3,13,11,65.71946114624959,0.006281140108613137,0.005109594024653716,0.0011715460839594209,1.393252685694459,1.363775314305541,1.378514,2.1383439986041357,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3635,1.35902,1.35334,1.35182,1.35248,1.34854,1.35548,1.3895,0.002211877030944904,1.3879914285714285,0.0020407794962637236,1.3808042857142857,0.00796697869022837,1.372509,0.011161554504884753,1.3680998,0.010841171050910476,1.3922,0.03638291410846957
2014-03-16 21:00:00+00:00,1.39093,1.39477,1.3879,1.3922,50306,6,3,16,11,66.5150659948414,0.006515680458966555,0.005390811311516284,0.0011248691474502713,1.395008956933396,1.364173043066604,1.379591,2.2351489584081214,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3635,1.35902,1.35334,1.35182,1.35248,1.34854,1.3901000000000001,0.002755431000773203,1.3888771428571427,0.002353845890490517,1.3820714285714286,0.008284735599646372,1.373833,0.011059110817283656,1.3686854,0.011335209226303638,1.39337,0.05135128941746732
2014-03-17 21:00:00+00:00,1.39224,1.39429,1.38799,1.39337,58790,0,3,17,12,67.39782695634827,0.0067185177082866865,0.005656352590870365,0.0010621651174163218,1.3968932303204178,1.3640387696795822,1.380466,2.379954351707006,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3635,1.35902,1.35334,1.35182,1.35248,1.3922299999999999,0.0011252999600208848,1.389667142857143,0.002827983464622471,1.3838364285714284,0.007827255739886551,1.375218,0.010806111744493335,1.3693213999999998,0.011810007173095575,1.38331,0.06181812909732692
2014-03-18 21:00:00+00:00,1.39342,1.39344,1.38096,1.38331,68307,1,3,18,12,54.17340721397414,0.005998364354240726,0.005724754943544437,0.0002736094106962888,1.3970971928245521,1.3648358071754478,1.3809665,2.3361454205517878,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3635,1.35902,1.35334,1.35182,1.3896266666666666,0.005501584620212197,1.3890428571428572,0.0036905587394746213,1.3847171428571428,0.006909231760224039,1.376217,0.01007434952122744,1.3698362,0.011848251208253271,1.37788,0.07017228251089762
2014-03-19 21:00:00+00:00,1.38325,1.38452,1.37492,1.37788,68609,2,3,19,12,48.627195012353866,0.004932621819256022,0.005566328318686755,-0.0006337064994307324,1.3969193142563125,1.3656236857436874,1.3812715,2.265711593457559,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3635,1.35902,1.35334,1.3848533333333333,0.007859480474774024,1.3878942857142857,0.005587843523049463,1.3845457142857143,0.007056007494202841,1.3768456666666669,0.009538407184073679,1.3701774,0.011828935261830162,1.37922,0.07628543980624644
2014-03-20 21:00:00+00:00,1.37788,1.38108,1.37658,1.37922,47504,3,3,20,12,49.98793384815475,0.0041483207241057585,0.005282726799770555,-0.0011344060756647966,1.3968538476294832,1.366218152370517,1.381536,2.2175097325705697,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3635,1.35902,1.3801366666666668,0.0028286804933314556,1.3862971428571427,0.0063041328092120685,1.3849542857142858,0.006511838585088464,1.3773696666666666,0.00920597350424777,1.3704214,0.011888156000912779,1.38388,0.08188119999038335
2014-03-23 21:00:00+00:00,1.37978,1.38761,1.37604,1.38388,58577,6,3,23,12,54.50135410763554,0.003858303390593676,0.00499784211793518,-0.0011395387273415037,1.3969447170703206,1.3671672829296793,1.382056,2.1545750780461415,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3635,1.3803266666666667,0.0031493703074351293,1.3858542857142857,0.006356833218782986,1.3856514285714285,0.005739343110554093,1.3780150000000002,0.008949138563821358,1.3707566,0.012028623279494536,1.38259,0.08722138886919158
2014-03-24 21:00:00+00:00,1.38394,1.38474,1.3749,1.38259,76216,0,3,24,13,53.073457265891214,0.003484206580684379,0.0046951150104850205,-0.0012109084298006414,1.3969376550941628,1.3679873449058375,1.3824625000000001,2.094111788806226,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.36452,1.3818966666666668,0.0024061241309115107,1.3846357142857144,0.005985947034910864,1.3863135714285713,0.004635904371389141,1.3786433333333334,0.008565842887177386,1.3710508,0.012136240187041,1.37826,0.09212787090376777
2014-03-25 21:00:00+00:00,1.38258,1.38277,1.37765,1.37826,59901,1,3,25,13,48.481976913634476,0.0028059916261320428,0.004317290333614426,-0.001511298707482383,1.3961348809450782,1.3697501190549217,1.3829425,1.9078712159150857,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.36374,1.3815766666666667,0.0029438466898523076,1.3826442857142855,0.0053332318442723325,1.3857607142857142,0.005113131607456488,1.379275,0.007750940654815628,1.3714054000000002,0.012081463489197586,1.37402,0.09609580126729562
